name,level,published,created_on,review_count,avg_rating
moistful,2,True,2019-12-17,6,3.8333
myalgia,1,True,2019-12-17,6,2.1667
phasmatrope,2,True,2019-12-17,2,3.0
cacochroia,1,True,2019-12-17,3,2.6667
retrofracted,2,True,2019-12-17,3,3.0
chartographist,1,True,2019-12-17,2,1.5
breakable,2,True,2019-12-17,1,4.0
astrologistic,0,True,2019-12-17,4,3.25
tetraptote,2,True,2019-12-17,6,3.3333
cacotrophia,0,True,2019-12-17,2,1.5
exsibilate,2,True,2019-12-17,4,3.0
celebrant,0,True,2019-12-17,7,3.4286
Gemmingia,1,True,2019-12-17,2,1.5
plumatellid,0,True,2019-12-17,2,3.0
misdecision,2,True,2019-12-17,2,2.0
Trithrinax,1,True,2019-12-17,2,3.0
compilement,2,True,2019-12-17,4,2.25
overdestructive,1,True,2019-12-17,1,4.0
ental,2,True,2019-12-17,3,2.3333
slour,2,True,2019-12-17,3,2.6667
yajnopavita,2,True,2019-12-17,6,3.5
competent,1,True,2019-12-17,5,2.8
holdable,0,True,2019-12-17,2,1.5
convenience,2,True,2019-12-17,3,2.3333
cartographical,0,True,2019-12-17,1,1.0
Lucayan,1,True,2019-12-17,4,2.0
protopectinase,2,True,2019-12-17,2,4.0
chlorinator,0,True,2019-12-17,4,3.0
paleness,1,True,2019-12-17,5,1.4
impermeability,2,True,2019-12-17,2,3.0
nob,0,True,2019-12-17,4,2.0
untorrid,1,True,2019-12-17,1,2.0
indeed,0,True,2019-12-17,4,2.5
acanthial,0,True,2019-12-17,4,2.75
tectorial,2,True,2019-12-17,4,3.5
redraft,2,True,2019-12-17,2,2.5
mordantly,2,True,2019-12-17,1,3.0
overrack,0,True,2019-12-17,3,4.0
thiostannous,2,True,2019-12-17,3,3.3333
refractometry,1,True,2019-12-17,3,2.0
esugarization,1,True,2019-12-17,4,2.25
invitingness,2,True,2019-12-17,4,3.75
anorthose,2,True,2019-12-17,10,3.3
wulfenite,0,True,2019-12-17,3,1.6667
ponderously,2,True,2019-12-17,6,4.0
freaky,1,True,2019-12-17,1,3.0
sudoral,1,True,2019-12-17,5,3.6
payee,2,True,2019-12-17,3,3.0
unirradiated,0,True,2019-12-17,5,2.0
unstifled,1,True,2019-12-17,3,4.3333
galactodensimeter,2,True,2019-12-17,4,3.5
nirvana,2,True,2019-12-17,2,4.0
ethnogeographer,2,True,2019-12-17,5,2.6
achroma,1,True,2019-12-17,3,3.0
niter,1,True,2019-12-17,3,3.3333
brachistochronous,0,True,2019-12-17,2,3.5
cantilene,1,True,2019-12-17,1,2.0
Troglodytes,2,True,2019-12-17,3,2.6667
normalist,2,True,2019-12-17,1,5.0
sombrously,2,True,2019-12-17,2,2.5
pulsatile,1,True,2019-12-17,2,4.5
unextinct,0,True,2019-12-17,2,3.0
Caranga,2,True,2019-12-17,1,2.0
burdenless,1,True,2019-12-17,2,2.0
casket,0,True,2019-12-17,1,4.0
enteraden,0,True,2019-12-17,5,3.6
fretted,1,True,2019-12-17,2,4.0
carrot,1,True,2019-12-17,6,2.6667
inspiratrix,1,True,2019-12-17,4,3.25
gallium,0,True,2019-12-17,5,2.6
perfectionator,2,True,2019-12-17,1,3.0
taw,1,True,2019-12-17,2,3.0
anteversion,1,True,2019-12-17,3,3.0
sporadically,2,True,2019-12-17,2,3.0
predeclaration,1,True,2019-12-17,3,2.6667
Neowashingtonia,0,True,2019-12-17,5,2.8
rambling,1,True,2019-12-17,4,3.5
rayed,0,True,2019-12-17,2,2.5
intussusception,1,True,2019-12-17,2,1.5
taximeter,1,True,2019-12-17,5,3.4
recomember,2,True,2019-12-17,5,3.8
expirable,1,True,2019-12-17,5,2.8
revengingly,1,True,2019-12-17,4,1.75
precentrum,0,True,2019-12-17,1,5.0
trapezial,0,True,2019-12-17,5,2.6
Bupleurum,1,True,2019-12-17,1,5.0
untruthfully,2,True,2019-12-17,7,2.2857
unsolar,0,True,2019-12-17,2,2.5
consummately,0,True,2019-12-17,4,2.75
Valkyria,2,True,2019-12-17,3,2.0
Henrietta,1,True,2019-12-17,4,3.0
nonslaveholding,0,True,2019-12-17,4,1.5
constitutionalist,0,True,2019-12-17,1,4.0
candor,1,True,2019-12-17,4,3.5
chlorocruorin,1,True,2019-12-17,2,3.0
octahedrite,1,True,2019-12-17,3,4.3333
diversisporous,1,True,2019-12-17,3,4.6667
restore,0,True,2019-12-17,1,4.0
Conularia,0,True,2019-12-17,5,2.2
saut,0,True,2019-12-17,3,2.0
afforcement,0,True,2019-12-17,3,2.6667
indicate,1,True,2019-12-17,2,1.5
taxinomic,0,True,2019-12-17,2,4.0
valval,1,True,2019-12-17,1,1.0
upcry,2,True,2019-12-17,2,2.0
jackweed,0,True,2019-12-17,5,3.6
ignite,1,True,2019-12-17,2,1.5
tanti,1,True,2019-12-17,4,3.0
jarless,2,True,2019-12-17,3,3.3333
refold,2,True,2019-12-17,3,3.0
trihydrol,1,True,2019-12-17,2,2.5
sesqui,0,True,2019-12-17,4,3.5
cowish,2,True,2019-12-17,4,2.25
faggery,2,True,2019-12-17,1,4.0
Seleucidic,1,True,2019-12-17,1,2.0
insititious,2,True,2019-12-17,5,2.2
syndesmology,0,True,2019-12-17,3,4.3333
chakari,0,True,2019-12-17,4,2.75
Honduranean,1,True,2019-12-17,4,3.25
parapleuritis,2,True,2019-12-17,3,3.6667
bricktimber,2,True,2019-12-17,8,3.625
habitacule,2,True,2019-12-17,4,3.0
unreproachful,1,True,2019-12-17,3,3.0
caponier,1,True,2019-12-17,2,2.0
Isopleura,1,True,2019-12-17,5,3.2
oxytoluene,1,True,2019-12-17,2,4.5
revealment,2,True,2019-12-17,3,3.0
Noachian,0,True,2019-12-17,5,4.0
usurper,0,True,2019-12-17,5,3.6
clarshech,0,True,2019-12-17,4,3.25
infiltration,2,True,2019-12-17,4,3.5
vitalizing,0,True,2019-12-17,5,3.4
damageability,0,True,2019-12-17,3,2.3333
lob,0,True,2019-12-17,1,1.0
outcropper,0,True,2019-12-17,1,5.0
shikken,1,True,2019-12-17,2,3.0
minuetic,2,True,2019-12-17,1,2.0
distress,0,True,2019-12-17,1,5.0
baryphonia,1,True,2019-12-17,3,3.6667
ovicapsular,1,True,2019-12-17,2,2.0
coquito,2,True,2019-12-17,1,4.0
Agrauleum,0,True,2019-12-17,2,3.5
subconscience,1,True,2019-12-17,3,3.3333
unstrain,0,True,2019-12-17,1,3.0
ramentiferous,1,True,2019-12-17,3,4.3333
hydrula,0,True,2019-12-17,2,1.5
byrewoman,1,True,2019-12-17,2,3.5
slackener,2,True,2019-12-17,4,2.5
peristeronic,1,True,2019-12-17,2,2.5
intramembranous,1,True,2019-12-17,5,3.0
Paisley,0,True,2019-12-17,2,4.5
pentremital,2,True,2019-12-17,5,2.2
Pacchionian,1,True,2019-12-17,2,4.5
cyanacetic,0,True,2019-12-17,4,3.75
unfrigid,0,True,2019-12-17,2,3.0
erne,2,True,2019-12-17,2,1.5
staphyloptosia,1,True,2019-12-17,1,2.0
doveflower,0,True,2019-12-17,4,3.25
monocle,1,True,2019-12-17,4,3.75
Tammy,1,True,2019-12-17,5,3.2
holohedrism,0,True,2019-12-17,5,2.8
unintermittingly,0,True,2019-12-17,5,1.8
equangular,0,True,2019-12-17,3,3.3333
substituent,2,True,2019-12-17,4,4.0
actinostomal,1,True,2019-12-17,4,3.0
jammedness,1,True,2019-12-17,2,2.0
contextual,1,True,2019-12-17,1,2.0
regrede,0,True,2019-12-17,2,3.5
ferrosilicon,2,True,2019-12-17,2,3.0
excursional,1,True,2019-12-17,3,3.0
Akiskemikinik,2,True,2019-12-17,5,2.2
ergotin,2,True,2019-12-17,2,2.0
pentadactyl,2,True,2019-12-17,6,2.8333
pathoanatomy,0,True,2019-12-17,6,3.3333
egomaniacal,0,True,2019-12-17,3,2.3333
antra,2,True,2019-12-17,5,3.0
tetraodont,2,True,2019-12-17,3,2.3333
coprophagia,0,True,2019-12-17,1,5.0
irremissive,1,True,2019-12-17,2,3.5
aware,1,True,2019-12-17,5,2.8
misadvice,0,True,2019-12-17,6,2.3333
Zaparan,1,True,2019-12-17,3,2.3333
upping,0,True,2019-12-17,1,5.0
faintheartedness,1,True,2019-12-17,3,2.0
retoother,0,True,2019-12-17,4,3.0
parchmenty,0,True,2019-12-17,3,2.3333
reamendment,1,True,2019-12-17,5,2.0
rebound,2,True,2019-12-17,2,2.5
plectrum,1,True,2019-12-17,4,4.5
watersmeet,0,True,2019-12-17,2,1.5
undersaturation,1,True,2019-12-17,4,2.75
whenso,0,True,2019-12-17,2,4.0
shallows,1,True,2019-12-17,1,1.0
nonimpact,1,True,2019-12-17,3,3.6667
menometastasis,0,True,2019-12-17,7,2.8571
impeachable,2,True,2019-12-17,3,3.0
uncheerfulness,2,True,2019-12-17,1,3.0
imperturbability,0,True,2019-12-17,2,4.5
animatograph,1,True,2019-12-17,4,3.25
ambilaterality,0,True,2019-12-17,1,1.0
hoarding,1,True,2019-12-17,4,3.25
dehypnotize,2,True,2019-12-17,3,3.6667
winterbloom,0,True,2019-12-17,2,3.5
simulioid,2,True,2019-12-17,4,3.25
vexed,2,True,2019-12-17,1,1.0
brombenzene,1,True,2019-12-17,3,2.3333
ledging,1,True,2019-12-17,4,2.5
flauntiness,1,True,2019-12-17,4,3.25
hillocky,2,True,2019-12-17,5,2.0
broadpiece,1,True,2019-12-17,3,3.6667
unchanted,2,True,2019-12-17,1,3.0
psalter,0,True,2019-12-17,4,1.5
antinial,0,True,2019-12-17,7,2.5714
Lernaeidae,1,True,2019-12-17,4,2.5
asseveratively,2,True,2019-12-17,4,3.25
reddishness,1,True,2019-12-17,3,3.0
soothsaying,1,True,2019-12-17,2,3.5
tossment,0,True,2019-12-17,2,4.0
Herculanian,1,True,2019-12-17,1,2.0
ceil,1,True,2019-12-17,6,2.6667
motional,0,True,2019-12-17,2,1.5
phenomena,0,True,2019-12-17,1,3.0
overbalm,1,True,2019-12-17,1,1.0
hymnologically,2,True,2019-12-17,5,2.4
bungfu,1,True,2019-12-17,6,2.6667
unsafeness,2,True,2019-12-17,4,3.0
Amphibiotica,1,True,2019-12-17,1,5.0
ganggang,2,True,2019-12-17,1,4.0
physeterine,2,True,2019-12-17,2,5.0
hushedly,2,True,2019-12-17,1,2.0
antiepileptic,2,True,2019-12-17,5,3.2
usucaption,0,True,2019-12-17,2,2.5
endarch,2,True,2019-12-17,3,2.0
automatically,1,True,2019-12-17,4,2.5
diaconicum,0,True,2019-12-17,5,2.6
Carnacian,2,True,2019-12-17,1,2.0
boodledom,2,True,2019-12-17,3,2.0
Distomidae,1,True,2019-12-17,3,2.0
repellency,1,True,2019-12-17,2,4.0
overplace,2,True,2019-12-17,2,3.0
physiognomonic,1,True,2019-12-17,2,4.0
unresistedly,1,True,2019-12-17,1,3.0
hyperglycorrhachia,2,True,2019-12-17,1,5.0
postpositively,0,True,2019-12-17,5,4.2
recompetition,2,True,2019-12-17,7,3.4286
porrectus,0,True,2019-12-17,4,1.75
butterman,2,True,2019-12-17,3,2.6667
duskness,1,True,2019-12-17,3,3.3333
ungnaw,1,True,2019-12-17,1,4.0
bibliopolist,2,True,2019-12-17,3,4.0
nystagmic,2,True,2019-12-17,3,2.3333
cherisher,2,True,2019-12-17,2,4.5
semistriate,1,True,2019-12-17,1,1.0
platosamine,0,True,2019-12-17,3,3.0
physicochemical,0,True,2019-12-17,2,3.5
reassumption,2,True,2019-12-17,4,2.5
intermetameric,1,True,2019-12-17,3,4.0
athlothetes,0,True,2019-12-17,2,3.0
homotypal,0,True,2019-12-17,2,3.5
unalleviably,2,True,2019-12-17,1,5.0
psalis,0,True,2019-12-17,2,1.5
wrainstaff,0,True,2019-12-17,4,2.75
club,2,True,2019-12-17,5,2.6
heterophemize,1,True,2019-12-17,2,1.0
Cataian,2,True,2019-12-17,5,1.6
photospectroscopy,0,True,2019-12-17,4,4.25
outbetter,0,True,2019-12-17,3,2.3333
Islamitic,1,True,2019-12-17,4,2.75
unvoracious,1,True,2019-12-17,4,2.75
examinate,0,True,2019-12-17,1,4.0
progenitorial,1,True,2019-12-17,2,2.5
iodomercuriate,2,True,2019-12-17,1,4.0
warrer,1,True,2019-12-17,2,2.0
townishly,2,True,2019-12-17,3,2.6667
leafcup,1,True,2019-12-17,1,2.0
planetologic,1,True,2019-12-17,4,2.25
Holosiphona,0,True,2019-12-17,1,1.0
cinchonization,0,True,2019-12-17,3,5.0
helotomy,0,True,2019-12-17,3,2.6667
tympaniform,0,True,2019-12-17,5,2.4
arecaidine,2,True,2019-12-17,9,2.2222
sicker,0,True,2019-12-17,4,2.5
urodialysis,2,True,2019-12-17,3,3.0
livingstoneite,1,True,2019-12-17,1,2.0
nuddle,0,True,2019-12-17,3,3.6667
siphonless,2,True,2019-12-17,2,4.5
anaerobiosis,2,True,2019-12-17,4,2.5
Kikuyu,0,True,2019-12-17,4,3.25
semitendinous,0,True,2019-12-17,1,1.0
flavorless,2,True,2019-12-17,2,2.0
unsomatic,0,True,2019-12-17,4,1.75
exocrine,2,True,2019-12-17,4,4.0
Thymallidae,2,True,2019-12-17,1,1.0
Madelon,2,True,2019-12-17,2,2.5
coenesthesis,0,True,2019-12-17,1,1.0
counterreform,2,True,2019-12-17,1,1.0
sporicide,0,True,2019-12-17,2,2.5
partiality,2,True,2019-12-17,4,3.25
peropodous,2,True,2019-12-17,2,4.5
supernalize,0,True,2019-12-17,1,3.0
doucely,2,True,2019-12-17,2,5.0
paltrily,2,True,2019-12-17,2,2.5
octad,2,True,2019-12-17,3,2.3333
Galbulae,2,True,2019-12-17,4,2.5
sluggardry,2,True,2019-12-17,5,3.4
treacle,0,True,2019-12-17,3,2.6667
glyoxalic,0,True,2019-12-17,7,2.8571
bus,1,True,2019-12-17,4,3.75
noncertified,1,True,2019-12-17,4,2.75
ruinatious,0,True,2019-12-17,6,3.5
endways,0,True,2019-12-17,4,3.75
gorgerin,2,True,2019-12-17,4,3.5
larcenish,1,True,2019-12-17,5,4.0
Proteosoma,2,True,2019-12-17,4,3.25
unconcertable,1,True,2019-12-17,4,2.25
overequal,2,True,2019-12-17,1,1.0
renewability,0,True,2019-12-17,1,5.0
nonprofit,1,True,2019-12-17,4,2.75
oblatory,1,True,2019-12-17,2,1.0
anticouncil,1,True,2019-12-17,6,2.6667
baccarat,0,True,2019-12-17,1,1.0
narrowly,0,True,2019-12-17,3,4.0
ninetyish,0,True,2019-12-17,4,2.0
propaedeutics,1,True,2019-12-17,2,4.0
uteri,1,True,2019-12-17,2,2.5
fossilism,2,True,2019-12-17,3,4.0
heteroousious,0,True,2019-12-17,1,3.0
semifistular,0,True,2019-12-17,4,2.25
Tagal,1,True,2019-12-17,3,3.0
Vedic,2,True,2019-12-17,4,2.75
electrofuse,2,True,2019-12-17,4,3.25
rivage,2,True,2019-12-17,2,1.5
loro,0,True,2019-12-17,3,4.6667
Buxaceae,0,True,2019-12-17,2,3.0
unmature,1,True,2019-12-17,3,4.3333
moonshiner,1,True,2019-12-17,2,2.0
predecay,1,True,2019-12-17,1,5.0
psychoanalytic,1,True,2019-12-17,4,3.25
tentwise,1,True,2019-12-17,3,4.0
mimotypic,0,True,2019-12-17,2,2.0
aphtha,1,True,2019-12-17,3,3.0
monandry,1,True,2019-12-17,3,3.3333
innascible,1,True,2019-12-17,4,3.5
iliac,1,True,2019-12-17,5,2.4
dirtily,1,True,2019-12-17,2,3.5
ultraimpersonal,1,True,2019-12-17,3,4.6667
siphonophoran,1,True,2019-12-17,3,3.6667
prospicience,1,True,2019-12-17,6,3.3333
warblet,0,True,2019-12-17,6,2.5
Crete,0,True,2019-12-17,3,3.3333
stonemasonry,0,True,2019-12-17,1,3.0
unshapenness,2,True,2019-12-17,3,2.6667
alternatively,0,True,2019-12-17,2,4.0
pygidial,1,True,2019-12-17,2,4.0
suturation,2,True,2019-12-17,2,3.0
unjewelled,0,True,2019-12-17,1,2.0
barad,1,True,2019-12-17,3,1.3333
statutably,0,True,2019-12-17,3,4.0
ungrammaticism,0,True,2019-12-17,2,3.0
supracaecal,1,True,2019-12-17,3,4.6667
attar,2,True,2019-12-17,2,1.5
forestage,2,True,2019-12-17,1,4.0
success,0,True,2019-12-17,2,1.5
pilgrimdom,0,True,2019-12-17,2,4.0
Avery,1,True,2019-12-17,4,3.25
doctorization,2,True,2019-12-17,1,3.0
slide,1,True,2019-12-17,3,3.3333
seditious,0,True,2019-12-17,6,3.8333
subquestion,0,True,2019-12-17,3,4.0
mesmerization,0,True,2019-12-17,4,3.25
unhafted,2,True,2019-12-17,2,3.5
eldin,2,True,2019-12-17,3,3.3333
tobogganist,2,True,2019-12-17,3,3.0
jowler,1,True,2019-12-17,1,1.0
flouncey,0,True,2019-12-17,5,2.8
misinflame,2,True,2019-12-17,5,2.4
tightwad,1,True,2019-12-17,1,3.0
preregulation,0,True,2019-12-17,3,2.3333
unwhelped,2,True,2019-12-17,3,3.3333
piaba,2,True,2019-12-17,4,2.25
cobreathe,1,True,2019-12-17,3,4.3333
barmcloth,2,True,2019-12-17,3,3.0
marmot,1,True,2019-12-17,1,2.0
subjectivistically,1,True,2019-12-17,6,3.8333
wrist,1,True,2019-12-17,3,4.0
lareabell,1,True,2019-12-17,3,2.3333
upsteam,1,True,2019-12-17,4,3.25
phrenicogastric,0,True,2019-12-17,2,1.5
Arneb,1,True,2019-12-17,2,1.5
dungy,2,True,2019-12-17,8,2.75
photomagnetism,2,True,2019-12-17,5,3.2
mandarah,0,True,2019-12-17,1,1.0
beode,2,True,2019-12-17,2,5.0
uncomputably,1,True,2019-12-17,2,2.5
knightlike,1,True,2019-12-17,5,4.0
stiffleg,2,True,2019-12-17,2,2.5
unauthorizable,2,True,2019-12-17,5,3.6
cerealin,0,True,2019-12-17,4,2.0
retentiveness,0,True,2019-12-17,3,4.0
unenvenomed,0,True,2019-12-17,1,5.0
Capetian,0,True,2019-12-17,3,2.6667
rooker,1,True,2019-12-17,4,2.75
idioelectrical,0,True,2019-12-17,1,1.0
delusion,2,True,2019-12-17,3,3.3333
verecundity,2,True,2019-12-17,6,2.5
mincing,1,True,2019-12-17,4,3.5
scelerat,2,True,2019-12-17,1,3.0
bedaub,1,True,2019-12-17,1,3.0
dermolysis,0,True,2019-12-17,4,4.5
